timestamp,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
7105.2648223999995,51236.12109375,19626.28515625,-21904.75390625,-187500.015625,-187500.015625,-187500.015625,107470.515625,1733.400146484375
7105.268822399999,73737.890625,41867.0078125,1204.0885009765625,-187500.015625,-187500.015625,-187500.015625,130146.0703125,24746.220703125
7105.272822399999,88728.8515625,56987.875,15832.9248046875,-187500.015625,-187500.015625,-187500.015625,145198.234375,39523.6953125
7105.276822399999,65317.49609375,33847.08984375,-8230.44921875,-187500.015625,-187500.015625,-187500.015625,121577.28125,15552.8134765625
7105.280822399999,50575.76171875,19001.306640625,-22678.90625,-187500.015625,-187500.015625,-187500.015625,106792.0078125,993.5126953125
7105.284822399999,68508.921875,36659.2734375,-4107.1552734375,-187500.015625,-187500.015625,-187500.015625,124877.2734375,19448.140625
7105.288822399999,89309.7890625,57497.94140625,16531.998046875,-187500.015625,-187500.015625,-187500.015625,145780.796875,40201.17578125
7105.292822399999,70074.0859375,38578.171875,-3432.937255859375,-187500.015625,-187500.015625,-187500.015625,126363.6015625,20353.587890625
7105.296822399999,50914.76953125,19378.58203125,-22430.220703125,-187500.015625,-187500.015625,-187500.015625,107120.828125,1260.48193359375
7105.300822399999,63512.75,31704.609375,-9207.935546875,-187500.015625,-187500.015625,-187500.015625,119846.2109375,14367.455078125
7105.2918972,88575.2890625,56719.16015625,15926.154296875,-187500.015625,-187500.015625,-187500.015625,145047.328125,39549.625
7105.2958972,75146.5859375,43613.88671875,1726.202880859375,-187500.015625,-187500.015625,-187500.015625,131473.359375,25498.78125
7105.2998972,52266.1328125,20761.595703125,-21165.73828125,-187500.015625,-187500.015625,-187500.015625,108468.5234375,2551.988037109375
7105.3038971999995,59074.90234375,27319.12890625,-13745.25,-187500.015625,-187500.015625,-187500.015625,115383.6640625,9842.8369140625
7105.307897199999,86209.1171875,54324.75390625,13648.4443359375,-187500.015625,-187500.015625,-187500.015625,142684.796875,37246.90234375
7105.311897199999,79888.953125,48315.93359375,6565.556640625,-187500.015625,-187500.015625,-187500.015625,136261.375,30345.130859375
7105.315897199999,54549.07421875,23071.068359375,-18949.18359375,-187500.015625,-187500.015625,-187500.015625,110749.9453125,4786.6708984375
7105.319897199999,55335.56640625,23628.72265625,-17596.1640625,-187500.015625,-187500.015625,-187500.015625,111612.921875,6001.75634765625
7105.323897199999,82505.7890625,50606.71875,10000.7958984375,-187500.015625,-187500.015625,-187500.015625,138967.34375,33562.015625
7105.327897199999,84004.9609375,52371.0078125,10810.1083984375,-187500.015625,-187500.015625,-187500.015625,140412.515625,34572.2265625
7105.3322897,57747.4296875,26287.73046875,-15847.990234375,-187500.015625,-187500.015625,-187500.015625,113954.671875,7957.17626953125
7105.3362897,52719.00390625,21071.525390625,-20324.642578125,-187500.015625,-187500.015625,-187500.015625,108971.2109375,3292.322509765625
7105.3402897,77964.359375,46077.13671875,5484.08984375,-187500.015625,-187500.015625,-187500.015625,134400.453125,29009.099609375
7105.3442896999995,87276.8828125,55584.8984375,14266.068359375,-187500.015625,-187500.015625,-187500.015625,143718.765625,37971.0546875
7105.348289699999,61834.15625,30380.580078125,-11702.009765625,-187500.015625,-187500.015625,-187500.015625,118079.4609375,12050.451171875
7105.352289699999,51188.69140625,19588.64453125,-21961.70703125,-187500.015625,-187500.015625,-187500.015625,107425.5,1672.5140380859375
7105.356289699999,72926.2734375,41059.10546875,380.5160827636719,-187500.015625,-187500.015625,-187500.015625,129325.203125,23917.505859375
7105.360289699999,89088.9375,57337.3671875,16215.9443359375,-187500.015625,-187500.015625,-187500.015625,145553.59375,39899.5625
7105.364289699999,66330.6796875,34873.70703125,-7205.6435546875,-187500.015625,-187500.015625,-187500.015625,122598.8046875,16575.96484375
7105.368289699999,50524.64453125,18981.078125,-22727.791015625,-187500.015625,-187500.015625,-187500.015625,106755.015625,936.1581420898438
7105.3735259,67492.390625,35666.41015625,-5114.77197265625,-187500.015625,-187500.015625,-187500.015625,123873.0078125,18428.341796875
